flight_risk_score_key,employee_id,snapshot_date,dept_code,band,employment_status,salary_gap_to_p50_pct,kpi_score,pay_freeze_months,tenure_months,months_since_last_move,seniority_risk_window_flag,risk_component_salary,risk_component_kpi,risk_component_promo,risk_component_freeze,risk_component_seniority,weight_salary_used,weight_kpi_used,weight_promo_used,weight_freeze_used,weight_seniority_used,missing_features,warning_letter_count_12m,is_excluded_from_risk_list,exclusion_reason,flight_risk_score,flight_risk_band,reason_salary,reason_kpi,reason_promo,reason_freeze,reason_seniority
20123,E000439,2021-12-01,01QT000017,Band 3,Active,0.0446,46.8,0,23,23,False,0.0,0.3867,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,12.67,Low,Lương bằng/cao hơn P50 thị trường (+4.5%),Điểm KPI 46.8/100,Đổi vai gần đây (23 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 23 tháng)
20124,E000439,2022-01-01,01QT000017,Band 3,Active,0.053,51.0,0,24,24,False,0.0,0.3167,0.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.92,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 51.0/100,Đổi vai gần đây (24 tháng trước),Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 24 tháng)
20125,E000439,2022-02-01,01QT000017,Band 3,Active,0.053,54.3,0,25,25,False,0.0,0.2617,0.0278,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,10.24,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 54.3/100,Lần đổi vai gần nhất cách đây 25 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 25 tháng)
20126,E000439,2022-03-01,01QT000017,Band 3,Active,0.053,60.1,0,26,26,False,0.0,0.165,0.0556,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,8.51,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 60.1/100,Lần đổi vai gần nhất cách đây 26 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 26 tháng)
20127,E000439,2022-04-01,01QT000017,Band 3,Active,0.053,50.9,0,27,27,False,0.0,0.3183,0.0833,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,13.04,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 50.9/100,Lần đổi vai gần nhất cách đây 27 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 27 tháng)
20128,E000439,2022-05-01,01QT000017,Band 3,Active,0.053,65.1,0,28,28,False,0.0,0.0817,0.1111,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,7.82,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 65.1/100,Lần đổi vai gần nhất cách đây 28 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 28 tháng)
20129,E000439,2022-06-01,01QT000017,Band 3,Active,0.053,57.1,0,29,29,False,0.0,0.215,0.1389,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,11.85,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 57.1/100,Lần đổi vai gần nhất cách đây 29 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 29 tháng)
20130,E000439,2022-07-01,01QT000017,Band 3,Active,0.053,49.6,0,30,30,False,0.0,0.34,0.1667,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,15.67,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 49.6/100,Lần đổi vai gần nhất cách đây 30 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 30 tháng)
20131,E000439,2022-08-01,01QT000017,Band 3,Active,0.053,51.5,0,31,31,False,0.0,0.3083,0.1944,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,15.57,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 51.5/100,Lần đổi vai gần nhất cách đây 31 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 31 tháng)
20132,E000439,2022-09-01,01QT000017,Band 3,Active,0.053,51.1,0,32,32,False,0.0,0.315,0.2222,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,16.43,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 51.1/100,Lần đổi vai gần nhất cách đây 32 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 32 tháng)
20133,E000439,2022-10-01,01QT000017,Band 3,Active,0.053,57.4,1,33,33,False,0.0,0.21,0.25,0.0417,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,15.33,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 57.4/100,Lần đổi vai gần nhất cách đây 33 tháng,Đang bị đóng băng lương 1 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 33 tháng)
20134,E000439,2022-11-01,01QT000017,Band 3,Active,0.053,57.7,2,34,34,False,0.0,0.205,0.2778,0.0833,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,16.74,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 57.7/100,Lần đổi vai gần nhất cách đây 34 tháng,Đang bị đóng băng lương 2 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 34 tháng)
20135,E000439,2022-12-01,01QT000017,Band 3,Active,0.053,45.7,3,35,35,False,0.0,0.405,0.3056,0.125,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,23.26,Low,Lương bằng/cao hơn P50 thị trường (+5.3%),Điểm KPI 45.7/100,Lần đổi vai gần nhất cách đây 35 tháng,Đang bị đóng băng lương 3 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 35 tháng)
20136,E000439,2023-01-01,01QT000017,Band 3,Active,-0.0159,61.7,4,36,36,False,0.0265,0.1383,0.3333,0.1667,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,18.66,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 61.7/100,Lần đổi vai gần nhất cách đây 36 tháng,Đang bị đóng băng lương 4 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 36 tháng)
20137,E000439,2023-02-01,01QT000017,Band 3,Active,-0.0159,50.8,5,37,37,False,0.0265,0.32,0.3611,0.2083,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.72,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 50.8/100,Lần đổi vai gần nhất cách đây 37 tháng,Đang bị đóng băng lương 5 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 37 tháng)
20138,E000439,2023-03-01,01QT000017,Band 3,Active,-0.0159,56.6,6,38,38,False,0.0265,0.2233,0.3889,0.25,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,23.84,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 56.6/100,Lần đổi vai gần nhất cách đây 38 tháng,Đang bị đóng băng lương 6 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 38 tháng)
20139,E000439,2023-04-01,01QT000017,Band 3,Active,-0.0159,46.9,7,39,39,False,0.0265,0.385,0.4167,0.2917,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,29.41,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 46.9/100,Lần đổi vai gần nhất cách đây 39 tháng,Đang bị đóng băng lương 7 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 39 tháng)
20140,E000439,2023-05-01,01QT000017,Band 3,Active,-0.0159,44.9,8,40,40,False,0.0265,0.4183,0.4444,0.3333,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,31.77,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 44.9/100,Lần đổi vai gần nhất cách đây 40 tháng,Đang bị đóng băng lương 8 tháng,Ngoài cửa sổ rủi ro thâm niên (thâm niên 40 tháng)
20141,E000439,2023-06-01,01QT000017,Band 3,Active,-0.0159,52.8,0,41,41,False,0.0265,0.2867,0.4722,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,22.5,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 52.8/100,Lần đổi vai gần nhất cách đây 41 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 41 tháng)
20142,E000439,2023-07-01,01QT000017,Band 3,Active,-0.0159,49.9,0,42,42,False,0.0265,0.335,0.5,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.41,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 49.9/100,Lần đổi vai gần nhất cách đây 42 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 42 tháng)
20143,E000439,2023-08-01,01QT000017,Band 3,Active,-0.0159,47.0,0,43,43,False,0.0265,0.3833,0.5278,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,26.31,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 47.0/100,Lần đổi vai gần nhất cách đây 43 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 43 tháng)
20144,E000439,2023-09-01,01QT000017,Band 3,Active,-0.0159,53.7,0,44,44,False,0.0265,0.2717,0.5556,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,24.21,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 53.7/100,Lần đổi vai gần nhất cách đây 44 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 44 tháng)
20145,E000439,2023-10-01,01QT000017,Band 3,Active,-0.0159,44.7,0,45,45,False,0.0265,0.4217,0.5833,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.66,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 44.7/100,Lần đổi vai gần nhất cách đây 45 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 45 tháng)
20146,E000439,2023-11-01,01QT000017,Band 3,Active,-0.0159,51.2,0,46,46,False,0.0265,0.3133,0.6111,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,26.64,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 51.2/100,Lần đổi vai gần nhất cách đây 46 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 46 tháng)
20147,E000439,2023-12-01,01QT000017,Band 3,Active,-0.0159,53.2,0,47,47,False,0.0265,0.28,0.6389,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,26.5,Low,Lương thấp hơn P50 thị trường 1.6%,Điểm KPI 53.2/100,Lần đổi vai gần nhất cách đây 47 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 47 tháng)
20148,E000439,2024-01-01,01QT000017,Band 3,Active,-0.0308,47.1,0,48,48,False,0.0513,0.3817,0.6667,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,30.23,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 47.1/100,Lần đổi vai gần nhất cách đây 48 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 48 tháng)
20149,E000439,2024-02-01,01QT000017,Band 3,Active,-0.0308,49.8,0,49,49,False,0.0513,0.3367,0.6944,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,29.8,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 49.8/100,Lần đổi vai gần nhất cách đây 49 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 49 tháng)
20150,E000439,2024-03-01,01QT000017,Band 3,Active,-0.0308,50.0,0,50,50,False,0.0513,0.3333,0.7222,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,30.42,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 50.0/100,Lần đổi vai gần nhất cách đây 50 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 50 tháng)
20151,E000439,2024-04-01,01QT000017,Band 3,Active,-0.0308,47.9,0,51,51,False,0.0513,0.3683,0.75,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,31.99,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 47.9/100,Lần đổi vai gần nhất cách đây 51 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 51 tháng)
20152,E000439,2024-05-01,01QT000017,Band 3,Active,-0.0308,44.6,0,52,52,False,0.0513,0.4233,0.7778,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,34.05,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 44.6/100,Lần đổi vai gần nhất cách đây 52 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 52 tháng)
20153,E000439,2024-06-01,01QT000017,Band 3,Active,-0.0308,46.3,0,53,53,False,0.0513,0.395,0.8056,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,34.04,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 46.3/100,Lần đổi vai gần nhất cách đây 53 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 53 tháng)
20154,E000439,2024-07-01,01QT000017,Band 3,Active,-0.0308,51.4,0,54,54,False,0.0513,0.31,0.8333,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.61,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 51.4/100,Lần đổi vai gần nhất cách đây 54 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 54 tháng)
20155,E000439,2024-08-01,01QT000017,Band 3,Active,-0.0308,43.3,0,55,55,False,0.0513,0.445,0.8611,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.68,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 43.3/100,Lần đổi vai gần nhất cách đây 55 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 55 tháng)
20156,E000439,2024-09-01,01QT000017,Band 3,Active,-0.0308,48.6,0,56,56,False,0.0513,0.3567,0.8889,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.17,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 48.6/100,Lần đổi vai gần nhất cách đây 56 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 56 tháng)
20157,E000439,2024-10-01,01QT000017,Band 3,Active,-0.0308,48.7,0,57,57,False,0.0513,0.355,0.9167,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.82,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 48.7/100,Lần đổi vai gần nhất cách đây 57 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 57 tháng)
20158,E000439,2024-11-01,01QT000017,Band 3,Active,-0.0308,39.8,0,58,58,False,0.0513,0.5033,0.9444,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,40.22,Medium,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 39.8/100,Lần đổi vai gần nhất cách đây 58 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 58 tháng)
20159,E000439,2024-12-01,01QT000017,Band 3,Active,-0.0308,54.0,0,59,59,False,0.0513,0.2667,0.9722,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.0,Low,Lương thấp hơn P50 thị trường 3.1%,Điểm KPI 54.0/100,Lần đổi vai gần nhất cách đây 59 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 59 tháng)
20160,E000439,2025-01-01,01QT000017,Band 3,Active,-0.0476,60.1,0,60,60,False,0.0793,0.165,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,33.71,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 60.1/100,Chưa đổi vai hoặc thăng cấp 60 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 60 tháng)
20161,E000439,2025-02-01,01QT000017,Band 3,Active,-0.0476,51.2,0,61,61,False,0.0793,0.3133,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.42,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 51.2/100,Chưa đổi vai hoặc thăng cấp 61 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 61 tháng)
20162,E000439,2025-03-01,01QT000017,Band 3,Active,-0.0476,50.8,0,62,62,False,0.0793,0.32,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.59,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 50.8/100,Chưa đổi vai hoặc thăng cấp 62 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 62 tháng)
20163,E000439,2025-04-01,01QT000017,Band 3,Active,-0.0476,52.0,0,63,63,False,0.0793,0.3,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.09,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 52.0/100,Chưa đổi vai hoặc thăng cấp 63 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 63 tháng)
20164,E000439,2025-05-01,01QT000017,Band 3,Active,-0.0476,54.4,0,64,64,False,0.0793,0.26,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.09,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 54.4/100,Chưa đổi vai hoặc thăng cấp 64 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 64 tháng)
20165,E000439,2025-06-01,01QT000017,Band 3,Active,-0.0476,55.5,0,65,65,False,0.0793,0.2417,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.63,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 55.5/100,Chưa đổi vai hoặc thăng cấp 65 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 65 tháng)
20166,E000439,2025-07-01,01QT000017,Band 3,Active,-0.0476,49.2,0,66,66,False,0.0793,0.3467,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,38.25,Medium,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 49.2/100,Chưa đổi vai hoặc thăng cấp 66 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 66 tháng)
20167,E000439,2025-08-01,01QT000017,Band 3,Active,-0.0476,53.6,0,67,67,False,0.0793,0.2733,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.42,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 53.6/100,Chưa đổi vai hoặc thăng cấp 67 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 67 tháng)
20168,E000439,2025-09-01,01QT000017,Band 3,Active,-0.0476,52.8,0,68,68,False,0.0793,0.2867,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,36.75,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 52.8/100,Chưa đổi vai hoặc thăng cấp 68 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 68 tháng)
20169,E000439,2025-10-01,01QT000017,Band 3,Active,-0.0476,55.2,0,69,69,False,0.0793,0.2467,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,35.75,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 55.2/100,Chưa đổi vai hoặc thăng cấp 69 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 69 tháng)
20170,E000439,2025-11-01,01QT000017,Band 3,Active,-0.0476,51.0,0,70,70,False,0.0793,0.3167,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.5,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 51.0/100,Chưa đổi vai hoặc thăng cấp 70 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 70 tháng)
20171,E000439,2025-12-01,01QT000017,Band 3,Active,-0.0476,51.2,0,71,71,False,0.0793,0.3133,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,37.42,Low,Lương thấp hơn P50 thị trường 4.8%,Điểm KPI 51.2/100,Chưa đổi vai hoặc thăng cấp 71 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 71 tháng)
20172,E000440,2021-01-01,01CN000048,Band 5,Active,0.0191,74.5,0,56,56,False,0.0,0.0,0.8889,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,25.22,Low,Lương bằng/cao hơn P50 thị trường (+1.9%),Điểm KPI 74.5/100,Lần đổi vai gần nhất cách đây 56 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 56 tháng)
20173,E000440,2021-02-01,01CN000048,Band 5,Active,0.0191,68.4,0,57,57,False,0.0,0.0267,0.9167,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,26.58,Low,Lương bằng/cao hơn P50 thị trường (+1.9%),Điểm KPI 68.4/100,Lần đổi vai gần nhất cách đây 57 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 57 tháng)
20174,E000440,2021-03-01,01CN000048,Band 5,Active,0.0191,77.7,0,58,58,False,0.0,0.0,0.9444,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,26.61,Low,Lương bằng/cao hơn P50 thị trường (+1.9%),Điểm KPI 77.7/100,Lần đổi vai gần nhất cách đây 58 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 58 tháng)
20175,E000440,2021-04-01,01CN000048,Band 5,Active,0.0191,67.9,0,59,59,False,0.0,0.035,0.9722,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.18,Low,Lương bằng/cao hơn P50 thị trường (+1.9%),Điểm KPI 67.9/100,Lần đổi vai gần nhất cách đây 59 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 59 tháng)
20176,E000440,2021-05-01,01CN000048,Band 5,Active,0.088,61.5,0,60,60,False,0.0,0.1417,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,31.54,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 61.5/100,Chưa đổi vai hoặc thăng cấp 60 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 60 tháng)
20177,E000440,2021-06-01,01CN000048,Band 5,Active,0.088,53.9,0,61,61,False,0.0,0.2683,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,34.71,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 53.9/100,Chưa đổi vai hoặc thăng cấp 61 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 61 tháng)
20178,E000440,2021-07-01,01CN000048,Band 5,Active,0.088,60.7,0,62,62,False,0.0,0.155,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,31.87,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 60.7/100,Chưa đổi vai hoặc thăng cấp 62 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 62 tháng)
20179,E000440,2021-08-01,01CN000048,Band 5,Active,0.088,70.8,0,63,63,False,0.0,0.0,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.0,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 70.8/100,Chưa đổi vai hoặc thăng cấp 63 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 63 tháng)
20180,E000440,2021-09-01,01CN000048,Band 5,Active,0.088,68.1,0,64,64,False,0.0,0.0317,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.79,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 68.1/100,Chưa đổi vai hoặc thăng cấp 64 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 64 tháng)
20181,E000440,2021-10-01,01CN000048,Band 5,Active,0.088,68.4,0,65,65,False,0.0,0.0267,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.67,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 68.4/100,Chưa đổi vai hoặc thăng cấp 65 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 65 tháng)
20182,E000440,2021-11-01,01CN000048,Band 5,Active,0.088,57.9,0,66,66,False,0.0,0.2017,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,33.04,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 57.9/100,Chưa đổi vai hoặc thăng cấp 66 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 66 tháng)
20183,E000440,2021-12-01,01CN000048,Band 5,Active,0.088,65.0,0,67,67,False,0.0,0.0833,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,30.08,Low,Lương bằng/cao hơn P50 thị trường (+8.8%),Điểm KPI 65.0/100,Chưa đổi vai hoặc thăng cấp 67 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 67 tháng)
20184,E000440,2022-01-01,01CN000048,Band 5,Active,0.0168,66.8,0,68,68,False,0.0,0.0533,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,29.33,Low,Lương bằng/cao hơn P50 thị trường (+1.7%),Điểm KPI 66.8/100,Chưa đổi vai hoặc thăng cấp 68 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 68 tháng)
20185,E000440,2022-02-01,01CN000048,Band 5,Active,0.0168,69.7,0,69,69,False,0.0,0.005,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,28.12,Low,Lương bằng/cao hơn P50 thị trường (+1.7%),Điểm KPI 69.7/100,Chưa đổi vai hoặc thăng cấp 69 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 69 tháng)
20186,E000440,2022-03-01,01CN000048,Band 5,Active,0.0168,59.4,0,70,70,False,0.0,0.1767,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.42,Low,Lương bằng/cao hơn P50 thị trường (+1.7%),Điểm KPI 59.4/100,Chưa đổi vai hoặc thăng cấp 70 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 70 tháng)
20187,E000440,2022-04-01,01CN000048,Band 5,Active,0.0168,58.1,0,71,71,False,0.0,0.1983,1.0,0.0,0.3,0.2,0.25,0.25,0.2,0.1,,0,False,,32.96,Low,Lương bằng/cao hơn P50 thị trường (+1.7%),Điểm KPI 58.1/100,Chưa đổi vai hoặc thăng cấp 71 tháng,Không bị đóng băng lương,Ngoài cửa sổ rủi ro thâm niên (thâm niên 71 tháng)
